"","ThrottlePosition___","EngineSpeed_rpm_","DesiredEngineSpeed_rpm_","BoostPressure_kPa_","EngineLoadFactor___","FuelConsumptionRate_l_h_","GroundSpeed_mph_","TransmissionOutputSpeed_rpm_","FrontServiceBrakeOilPressure_kPa_","RearServiceBrakeOilPressure_kPa_","HydraulicOilTemperature_degC_","HydraulicOilTemperature_degC_.1","FuelGauge___","SystemVoltage_volts_","Productivity"
"17706",39.2,1086.5,1242,26,29,35.05,2,127,2425,2615,76,76,35,28.2,"High"
"17707",98.8,2098.5,2120,96.5,97,22.1,3,325,98,121,76,76,32,28.1,"High"
"17708",99.2,2014,2120,70,42,22.55,4,402,15,22,76,76,33,28.2,"High"
"17709",99.2,2133.5,2120,128,91,20.65,5.5,556,16,24,76,76,32,28.1,"High"
"17710",99.2,1778.5,2120,147.5,100,27.45,8,836,17,28,76,76,33,28.2,"High"
"17711",41.6,1972.5,1273.5,71.5,0,0,10,967,18,28,76,76,29,28.2,"High"
"17712",54.8,1717.5,1540,51.5,93,0.6,8,799,18,28,76,76,32,28.2,"High"
"17713",93.6,1369,2120,34,73,34.1,6.5,639,21,27,76,76,36,28.2,"High"
"17714",98.4,1394.5,2120,53.5,82,34.55,6.5,655,27,44,76,76,36,28.2,"High"
"17715",65.6,1610,1740.5,25,23,19.1,0,0,1940,1965,76,76,39,28.2,"High"
"17716",69.2,1648,1797.5,95,83,29,2.5,295,94,107,76,76,36,28.2,"High"
"17717",42.8,1551.5,1254,95.5,51,21.85,4,383,22,23,76,76,36,28.2,"High"
"17718",60,1232,1637,11.5,39,36.8,2,183,19,26,76,76,35,28.1,"High"
"17719",71.2,1853,1820.5,79.5,70,23.75,3.5,335,23,29,76,76,34,28.1,"High"
"17720",69.6,1904,1797.5,75.5,36,15.7,3.5,338,19,26,76,76,35,28.2,"High"
"17721",37.2,1307,1172.5,23.5,0,0,2.5,215,752,1360,76,76,35,28.2,"High"
"17722",86,1316,2105.5,25,65,35.15,1.5,177,101,140,76,76,34,28.2,"High"
"17723",94.4,1783.5,2120,43,73,26.25,2.5,240,100,117,76,76,34,28.2,"High"
"17724",96.8,2081.5,2120,139,100,22.7,5.5,539,36,35,76,76,34,28.2,"High"
"17725",99.2,1728,2120,151,100,28.05,6.5,659,46,53,76,76,35,28.2,"High"
"17726",89.2,1997,2120,151.5,100,24.35,9.5,919,50,66,76,76,34,28.2,"High"
"17727",92,1656.5,2120,48.5,66,28.85,7.5,743,223,275,76,76,35,28.2,"High"
"17728",89.2,1913.5,2120,119,99,25.2,7,614,457,856,76,76,35,28.2,"High"
"17729",12.8,1077.5,800,49.5,9,13.65,2.5,188,1514,2082,76,76,36,28.1,"High"
"17730",85.6,2101.5,2081.5,63.5,82,20.05,0,0,1481,1658,76,76,36,28.1,"High"
"17731",57.6,1662.5,1580,38,0,0.7,0,0,1261,1449,76,76,35,28.2,"High"
"17732",93.2,1936,2120,98.5,99,24.95,1.5,187,94,127,76,76,35,28.2,"High"
"17733",26.8,998,1007,44,18,24.95,2.5,216,1864,2055,76,76,35,28.2,"High"
"17734",48,1553.5,1420.5,33.5,25,9.85,0,0,100,129,76,76,35,28.2,"High"
"17735",67.2,1769.5,1756.5,66.5,39,18.55,2.5,253,73,27,76,76,33,28.2,"High"
"17736",51.6,1213,1470.5,18,0,33.35,0,0,177,241,76,76,35,28.2,"High"
"17737",70.8,1594,1820,40.5,83,29.45,2,243,97,121,76,76,35,28.2,"High"
"17738",83.2,1654.5,1810.5,30,0,3.2,3,296,18,26,76,76,35,28.2,"High"
"17739",85.2,2073,2088,73,78,21,3,329,17,28,76,76,35,28.2,"High"
"17740",34,1195.5,1139.5,44.5,0,5.6,3.5,268,2347,2541,76,76,34,28.1,"High"
"17741",99.2,1972.5,2120,72.5,88,24.6,2.5,263,100,103,76,76,35,28.1,"High"
"17742",98.8,2143,2120,109.5,99,19.6,3,301,38,36,76,76,35,28.1,"High"
"17743",96.8,1740,2120,149,100,27.9,4,444,45,53,76,76,35,28.2,"High"
"17744",29.6,1354.5,1029.5,69.5,56,18.75,3.5,331,53,102,76,76,33,28.2,"High"
"17745",6.4,928,800,30.5,0,0,3,257,150,245,76,76,35,28.2,"High"
"17746",43.6,1137,1318,16,66,41.45,1,113,51,54,76,76,35,28.2,"High"
"17747",73.2,1549,1888.5,26,67,29,0,0,220,1334,76,76,34,28.2,"High"
"17748",61.6,1591.5,1656,49.5,70,26.6,0,0,95,150,76,76,35,28.1,"High"
"17749",84.4,2051,2086.5,98,83,22.7,0,0,1729,1917,76,76,33,28.2,"High"
"17750",56,1634,1540,89,40,22.45,0,0,1382,1562,76,76,33,28.2,"High"
"17751",83.2,1764,2052.5,95,100,27.55,2.5,306,95,114,76,76,35,28.2,"High"
"17752",98,1930.5,2120,137.5,100,25.05,5.5,576,20,28,76,76,35,28.2,"High"
"17753",53.2,1925,1474.5,79.5,0,0,5.5,473,2807,2993,76,76,35,28.2,"High"
"17754",82.8,1712.5,2048,45,65,27.65,1.5,164,109,129,77,77,30,28.1,"High"
"17755",99.2,2152.5,2120,80.5,52,14.75,3,286,52,34,77,77,32,28.2,"High"
"17756",45.2,1731.5,1305.5,93,0,0.1,4.5,443,26,30,77,77,32,28.1,"High"
"17757",55.6,1331,1534.5,24,31,34.3,3.5,349,25,29,77,77,32,28.2,"High"
"17758",42.4,1203,1297.5,15,33,31.6,3,282,19,22,77,77,35,28.2,"High"
"17759",92.4,1636.5,2120,47.5,78,29,3.5,361,26,31,77,77,35,28.2,"High"
"17760",57.6,1841.5,1574.5,79,37,0.25,4.5,436,24,113,77,77,35,28.2,"High"
"17761",92.4,1909,2120,82.5,100,25.3,5,514,20,28,77,77,35,28.2,"High"
"17762",99.2,2168.5,2120,118,82,17.95,5.5,541,21,27,77,77,35,28.1,"High"
"17763",38.8,1679,1206,119.5,57,1.2,7.5,706,757,1239,77,77,32,28.2,"High"
"17764",23.2,1271.5,933.5,44,0,0,5.5,479,2321,2516,77,77,33,28.2,"High"
"17765",34,972,1134.5,21.5,6,25.3,0,0,1726,1738,77,77,35,28.2,"High"
"17766",91.2,1907,2120,81.5,100,25.2,3.5,354,101,122,77,77,35,28.2,"High"
"17767",96.4,2128,2120,116,80,20.45,4,389,99,118,77,77,34,28.2,"High"
"17768",92.8,1986,2014.5,65,18,24.45,6,590,27,27,77,77,35,28.2,"High"
"17769",78.8,2058.5,1911.5,74,31,17.45,6.5,626,17,27,77,77,35,28.2,"High"
"17770",53.6,1521.5,1502,25.5,0,2.6,6,596,19,27,77,77,35,28.2,"High"
"17771",45.2,1428,1331,14.5,9,3.9,5.5,547,18,27,77,77,35,28.2,"High"
"17772",38.4,1274.5,1213.5,7,3,6.65,4,414,22,27,77,77,35,28.2,"High"
"17773",52,1341,1473.5,15,60,30.9,3.5,360,993,1928,77,77,35,28.2,"High"
"17774",80.8,1715,2016,41.5,48,27.3,2,215,90,124,77,77,32,28.2,"High"
"17775",98.4,2121,2120,101.5,87,20.2,3,353,97,117,77,77,32,28.1,"High"
"17776",84,1940.5,2022,131.5,100,24.35,6,626,18,19,76,76,33,28.2,"High"
"17777",85.6,1557,2101.5,28.5,51,29.45,5,500,13,17,76,76,33,28.2,"High"
"17778",89.6,1632,2120,53.5,85,29.35,5,534,13,20,76,76,33,28.2,"High"
"17779",79.2,1857.5,1974.5,105,97,26.15,6,609,12,15,76,76,31,28.2,"High"
"17780",36,1228.5,1174.5,26,0,5.8,4.5,411,1834,2011,76,76,31,28.2,"High"
"17781",36.8,1147,1170,17,35,24,2.5,187,1927,2121,76,76,31,28.1,"High"
"17782",98.4,1881.5,2120,69,95,25.4,2.5,251,94,102,76,76,31,28.2,"High"
"17783",94.8,1975.5,2120,141,100,24.6,5,513,23,29,76,76,32,28.2,"High"
"17784",84.8,2070.5,2080,142.5,82,21.95,5.5,537,29,28,76,76,32,28.2,"High"
"17785",95.6,1842,2120,145.5,100,26.35,6.5,682,32,123,76,76,36,28.2,"High"
"17786",60.8,1739.5,1642.5,66,12,4.85,2,99,3870,4055,76,76,36,28.2,"High"
"17787",93.2,2129,2120,93.5,92,20.05,0,0,2355,2539,76,76,36,28.2,"High"
"17788",98.4,2120,2120,115,73,20.55,0,0,1816,1997,76,76,36,28.2,"High"
"17789",86,2136,2088.5,131,79,20.9,0,0,1575,1755,76,76,36,28.1,"High"
"17790",37.6,1326,1194.5,32.5,0,0,0,0,1456,1630,76,76,36,28.2,"High"
"17791",82,1688,2016.5,27.5,72,26.35,0,0,99,119,76,76,36,28.2,"High"
"17792",54.4,1662,1519.5,92.5,97,22.9,2.5,269,94,84,76,76,35,28.2,"High"
"17793",72.8,1603,1853,38.5,38,28.4,2.5,274,29,30,76,76,35,28.2,"High"
"17794",55.2,1575.5,1895,73,4,1.65,3.5,331,37,32,76,76,32,28.2,"High"
"17795",79.6,1815.5,1998.5,53.5,64,25.3,3.5,333,29,48,76,76,33,28.2,"High"
"17796",49.6,1207,1423,19.5,42,32.65,0.5,0,1723,1851,76,76,33,28.1,"High"
"17797",99.2,2067.5,2120,91.5,97,22.55,2.5,234,111,117,76,76,32,28.2,"High"
"17798",99.6,1985,2120,115.5,99,24.45,3.5,355,115,76,76,76,32,28.2,"High"
"17799",99.6,1841.5,2120,144.5,84,26.35,5.5,567,54,45,76,76,32,28.2,"High"
"17800",99.6,1843.5,2120,150.5,100,26.35,6,625,53,45,76,76,33,28.2,"High"
"17801",55.2,1518,1526.5,76.5,63,28.75,2,184,609,792,81,81,17,28.2,"High"
"17802",86,2031,2096,135,100,23.4,6,607,0,0,81,81,17,28.2,"High"
"17803",61.2,1598.5,1625.5,72,90,29.45,6,634,313,416,81,81,16,28.3,"High"
"17804",49.2,1584,1413.5,45.5,1,1.8,9.5,925,609,1196,81,81,15,28.2,"High"
"17805",83.2,2002,2044.5,135.5,100,24.25,10.5,1014,0,0,81,81,19,28.2,"High"
"17806",81.2,1826,2015,140,100,26.6,12,1178,0,0,81,81,19,28.2,"High"
"17807",99.2,1858,2120,132,100,26.15,13.5,1320,4,0,80,80,19,28.3,"High"
"17808",99.2,1868.5,2120,131.5,100,25.9,14,1383,0,0,81,81,19,28.2,"High"
"17809",20.8,1186,899.5,35.5,0,0,14,1358,799,733,80,80,19,28.2,"High"
