"","ThrottlePosition___","EngineSpeed_rpm_","DesiredEngineSpeed_rpm_","BoostPressure_kPa_","EngineLoadFactor___","FuelConsumptionRate_l_h_","GroundSpeed_mph_","TransmissionOutputSpeed_rpm_","FrontServiceBrakeOilPressure_kPa_","RearServiceBrakeOilPressure_kPa_","HydraulicOilTemperature_degC_","HydraulicOilTemperature_degC_.1","FuelGauge___","SystemVoltage_volts_","Productivity"
"5875",99.6,1957,2120,123,100,24.7,9,906,0,0,86,86,20,28.2,"Low"
"5876",99.6,2009,2120,123.5,100,24,9.5,916,0,0,85,85,19,28.3,"Low"
"5877",99.6,1964,2120,122,100,24.7,9,891,0,0,85,85,21,28.2,"Low"
"5878",99.6,1766,2120,123,100,27.55,8,806,345,428,85,85,24,28.2,"Low"
"5879",80,2069.5,2088,106,93,15.55,4.5,382,919,1117,85,85,24,28.2,"Low"
"5880",95.2,1689.5,2120,79.5,63,28.75,0.5,152,69,13,85,85,24,28.2,"Low"
"5881",99.2,1970.5,2120,122,100,24.6,4.5,538,0,16,85,85,24,28.2,"Low"
"5882",99.2,1881.5,2120,125,100,25.65,5.5,545,0,5,85,85,24,28.2,"Low"
"5883",94.4,1969.5,2120,89,39,24.6,8,795,0,8,85,85,24,28.2,"Low"
"5884",98.8,1928.5,2120,120.5,100,25.05,11,1111,0,11,85,85,24,28.2,"Low"
"5885",78.4,1851.5,2028,40.5,0,22.9,11,1078,0,4,85,85,21,28.2,"Low"
"5886",99.2,2009.5,2120,119,100,24.1,11.5,1154,0,1,85,85,19,28.2,"Low"
"5887",60.4,1884.5,1628.5,39,0,0,11,1058,182,318,85,85,24,28.2,"Low"
"5888",66,1578.5,1726,28.5,50,24.8,9,894,399,726,85,85,28,28.2,"Low"
"5889",99.2,1814,2120,118.5,100,26.5,10.5,1019,3,11,85,85,29,28.2,"Low"
"5890",99.2,2018.5,2120,123.5,100,24,11.5,1153,0,0,85,85,26,28.3,"Low"
"5891",99.2,2065,2120,122,100,23.4,12,1186,0,0,85,85,25,28.3,"Low"
"5892",99.2,1933.5,2120,110.5,99,25.05,12.5,1219,0,0,85,85,24,28.2,"Low"
"5893",99.2,1835,2120,122.5,100,26.5,13,1274,0,3,85,85,24,28.2,"Low"
"5894",99.2,1837.5,2120,122,100,26.35,13,1298,0,0,85,85,24,28.2,"Low"
"5895",99.2,1842,2120,121.5,100,26.35,13.5,1325,0,0,85,85,24,28.2,"Low"
"5896",99.2,1847,2120,120.5,100,26.25,14,1362,0,0,85,85,24,28.2,"Low"
"5897",99.2,1674,2120,122.5,100,29.1,14,1388,0,1,84,84,24,28.3,"Low"
"5898",99.2,1435.5,2120,110.5,100,34.2,14.5,1450,0,0,84,84,24,28.2,"Low"
"5899",99.2,1472,2120,111.5,100,33.25,15,1441,0,2,84,84,24,28.3,"Low"
"5900",99.2,1449,2120,114.5,100,33.85,15,1448,0,3,84,84,24,28.1,"Low"
"5901",76.8,1963.5,1930,46,16,3.1,3.5,345,1790,1984,85,85,26,28.3,"Low"
"5902",0.4,1492.5,800,23.5,0,0,0,0,1818,2004,85,85,24,28.4,"Low"
"5903",0,700,800,6,9,50.7,0,0,1974,2160,85,85,24,27.6,"Low"
"5904",0,800.5,800,3,9,37.05,0,0,1913,2101,85,85,24,28.3,"Low"
"5905",99.2,1542.5,2120,36.5,79,30.4,2,204,94,101,85,85,24,28.3,"Low"
